Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,19/11/2014,-535.78,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,21/11/2014,-830.62,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,21/11/2014,-579.9,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,21/11/2014,-3509.73,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,19/11/2014,100.77,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,7000,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,102.77,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,107.81,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,-431.83,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,15295.37,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,461.46,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,524.7,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,106,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,241.11,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,"3,214.84",,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,424.00,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,268.77,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,AON LTD,24/11/2014,948.59,,,,,,,,,
"Finance, Audit & Information Governance",Finance Manager (Corporate Finance & Customer Services),FFAE,Supplies & Services,Miscellaneous Insurance,JC Applications Development LTD,13/11/2014,4462,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",BHAD,Supplies & Services,Sampling & Analysis,Public Health England,10/11/2014,282.10,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAD,Supplies & Services,Other Services,ALS ENVIRONMENTAL LIMITED,07/11/2014,526.68,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAE,Supplies & Services,Computer Software (Maint),DIAMOND PEOPLE LIMITED,20/11/2014,761.25,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAE,Supplies & Services,Other Services,PRP LEISURE LTD,03/11/2014,192.00,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAE,Supplies & Services,Other Services,PRP LEISURE LTD,10/11/2014,192.00,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAE,Supplies & Services,Other Services,PRP LEISURE LTD,24/11/2014,192.00,,,,,,,,,
"Health, Well-being & Public Protection","Health, Safety & Resilience",DEAE,Supplies & Services,Other Services,PRP LEISURE LTD,24/11/2014,192.00,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAC,Supplies & Services,Sub Contractors,ICE Creates Ltd,20/11/2014,14542.08,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAC,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG,27/11/2014,5011.04,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAC,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG,05/11/2014,5197.86,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,13/11/2014,325.3,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,13/11/2014,305.39,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,20/11/2014,267.31,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,05/11/2014,379.06,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,05/11/2014,305.39,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,05/11/2014,331.72,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,05/11/2014,367.53,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,20/11/2014,1142.92,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAE,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,10/11/2014,305.39,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Marketing & Publicity,NEWPORT ENGRAVERS,11/11/2014,192,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Other Grants (Expenses),NACRO,03/11/2014,64307.75,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,03/11/2014,37514,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Refreshments Meetings,HAMMONDS CATERING SERVICES LTD,03/11/2014,173.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Aqueduct Pharmacy,03/11/2014,558,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Boots the Chemist Ltd,03/11/2014,361.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Boots the Chemist Ltd,03/11/2014,352.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,DONNINGTON MEDICAL PRACTICE,03/11/2014,1400,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Donnington Pharmacy,03/11/2014,247.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Jhoots Pharmacy,03/11/2014,382.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Leegomery Pharmacy,03/11/2014,147,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Lloyds Pharmacy,11/11/2014,489,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Lloyds Pharmacy,03/11/2014,907.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Lloyds Pharmacy,03/11/2014,417,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Lloyds Pharmacy,03/11/2014,225,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Lloyds Pharmacy,11/11/2014,325.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Medshires,03/11/2014,312,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,OAKENGATES MEDICAL PRACTICE,03/11/2014,1225,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Rowlands Pharmacy,11/11/2014,279,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Rowlands Pharmacy,11/11/2014,187.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,SUTTON HILL MEDICAL PRACTICE,03/11/2014,2100,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Telford Aftercare Team,03/11/2014,14792,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Tesco's Instore Pharmacy,03/11/2014,589.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,Tesco's Instore Pharmacy,03/11/2014,619.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Service Contracts,WELLINGTON MEDICAL PRACTICE,03/11/2014,1312.5,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAG,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG,11/11/2014,2979.56,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,13/11/2014,350.75,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,13/11/2014,287.75,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Cambridgeshire Community Services NHS Trust,27/11/2014,146.42,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Heart of England NHS,27/11/2014,268,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,IRONBRIDGE MEDICAL PRACTICE,10/11/2014,1217.04,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,OAKENGATES MEDICAL PRACTICE,03/11/2014,216.72,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,PFC Group,20/11/2014,266,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Plymouth Hospitals NHS Trust,14/11/2014,690.76,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,SHAWBIRCH MEDICAL PRACTICE,27/11/2014,2695,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,SHAWBIRCH MEDICAL PRACTICE,27/11/2014,2413.6,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Staffordshire & Stoke-On-Trent Partnership NHS trust,03/11/2014,62269.83,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,STIRCHLEY MEDICAL PRACTICE,05/11/2014,4949.72,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,The Royal Wolverhampton NHS Trust,14/11/2014,278,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Virgin Care,14/11/2014,239,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Sub Contractors,Walsall Healthcare NHS tRUST,10/11/2014,271,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAH,Supplies & Services,Telephones,SYNETRIX LTD,12/11/2014,340,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAJ,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG,11/11/2014,30000,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAJ,Supplies & Services,Sub Contractors,North 51 Limited,24/11/2014,4730,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAJ,Supplies & Services,Sub Contractors,North 51 Limited,24/11/2014,4950,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAJ,Supplies & Services,Sub Contractors,North 51 Limited,24/11/2014,6050,,,,,,,,,
"Health, Well-being & Public Protection",Public Health,HRAJ,Supplies & Services,Sub Contractors,North 51 Limited,24/11/2014,4290,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAA,Supplies & Services,Licences,PUBLIC-I,24/11/2014,500,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAB,Premises-Related Expenditure,Hire Of Rooms,IRONBRIDGE GORGE MUSEUM TRUST LTD,11/11/2014,300,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Premises-Related Expenditure,Hire Of Rooms,Coalbrookdale & Ironbridge Community Association,11/11/2014,264,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Premises-Related Expenditure,Hire Of Rooms,Coalport Village Hall,11/11/2014,185,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Premises-Related Expenditure,Hire Of Rooms,Jackfield Village Hall,11/11/2014,232.5,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Premises-Related Expenditure,Hire Of Rooms,Parish Church Room,11/11/2014,192,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,20/11/2014,277.9,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Supplies & Services,Printing - Print Room,IMPACT MAIL & PRINT LTD,17/11/2014,504.84,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAD,Supplies & Services,Printing - Print Room,IMPACT MAIL & PRINT LTD,17/11/2014,538.17,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAE,Employees,Course Fees,ASSOCIATION OF ELECTORAL ADMINISTRATORS,05/11/2014,715,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAE,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,20/11/2014,1399.25,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAE,Supplies & Services,Publications,XPRESS SOFTWARE SOLUTIONS LTD,24/11/2014,500,,,,,,,,,
"Law, Democracy & People Services",Democratic Services,BDAF,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,27/11/2014,1495.67,,,,,,,,,
"Law, Democracy & People Services",Legal Services,BLAB,Employees,Professional Subs,THE LAW SOCIETY,12/11/2014,4576,,,,,,,,,
"Law, Democracy & People Services",People Services,NHAC,Employees,Safer Recruitment Refresher Training for Trainers,LUCY FAITHFULL FOUNDATION,12/11/2014,387.51,,,,,,,,,
"Law, Democracy & People Services",People Services,NHAC,Employees,Staff Training - NVQ Level 4,TELFORD COLLEGE OF ARTS & TECHNOLOGY,10/11/2014,200,,,,,,,,,
"Law, Democracy & People Services",People Services,NHAC,Supplies & Services,Headset for phone,SPECIALIST COMPUTERS CENTRES PLC,10/11/2014,135.93,,,,,,,,,
"Law, Democracy & People Services",People Services,NHAC,Supplies & Services,Medical Report,TELFORD OCCUPATIONAL HEALTH SERVICE LTD,18/11/2014,360,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,Best Interest Assessor Training,SHROPSHIRE COUNCIL,20/11/2014,135.00,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,BIA  Sedative & Anto Psy Med Training,SHROPSHIRE COUNCIL,20/11/2014,140.00,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,Developing Resilience Training,West Midlands Employers,07/11/2014,625.00,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,MA Post Post Qualifying ,STAFFORDSHIRE UNIVERSITY,12/11/2014,375.00,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,PACE & RIPA Training,P H F TRAINING LTD,19/11/2014,"3,500.00",,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Employees,Padiatric First Aid Training,BLITHFIELD SAFETY TRAINING,12/11/2014,"1,039.00",,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Premises-Related Expenditure,Room Hire - Safter Care for Foster Carers,MEETING POINT TRUST LTD,18/11/2014,131.30,,,,,,,,,
"Law, Democracy & People Services",People Services,NOAT,Premises-Related Expenditure,Room Hire for ILM Level 5 training,MEETING POINT TRUST LTD,17/11/2014,197.7,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAA,Supplies & Services,Artistes Fees,Fools Paradise Ltd,07/11/2014,735,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAA,Supplies & Services,Artistes Fees,THE PLAY HOUSE,10/11/2014,550,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,CREATIVE EMPORIUM,17/11/2014,382.80,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,INANDAROUND MAGAZINES,11/11/2014,350,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,ORION MEDIA,19/11/2014,108.01,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,ORION MEDIA,19/11/2014,108.01,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,ORION MEDIA,17/11/2014,108.02,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,Raring to Go,11/11/2014,129.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,Redbus Media Group,19/11/2014,485,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,ROB FINNEY PHOTOGRAPHY,07/11/2014,180,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,Scene Local Media Ltd,03/11/2014,500,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,14/11/2014,295,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,07/11/2014,137.21,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,24/11/2014,137.21,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Advertising,WHATS ON MAGAZINES LTD (04018338),03/11/2014,265,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Aids & Appliances,STAGE ELECTRICS PARTNERSHIP LTD,06/11/2014,213,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Equipment - Purchase,Spektrix Limited,17/11/2014,2303.37,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Equipment - Purchase,STAGE ELECTRICS PARTNERSHIP LTD,06/11/2014,288,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Performing Rights Fees,PRS FOR MUSIC,06/11/2014,3040.74,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Performing Rights Fees,PRS FOR MUSIC,07/11/2014,1752.51,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAD,Supplies & Services,Performing Rights Fees,PRS FOR MUSIC,07/11/2014,1882.72,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,DEREK BLOCK CONCERT PROMOTIONS,06/11/2014,"1,112.34",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,Maple Tree Entertainment Ltd,18/11/2014,"1,067.61",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,Neil Sands Productions,06/11/2014,"1,000.00",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,ODDSOCKS PRODUCTION,11/11/2014,487.50,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,Password Productions Limited,26/11/2014,"3,361.88",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,PAUL HOLMAN ASSOCIATES LTD,20/11/2014,"30,000.00",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,PHIL MCINTYRE ENTERTAINMENT LTD,06/11/2014,"2,328.96",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,TED Group,17/11/2014,"-1,150.00",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,TED Group,18/11/2014,"2,300.00",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,The People's Theatre Company,18/11/2014,613.94,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,VIENNA FESTIVAL BALLET,17/11/2014,"2,163.14",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAF,Supplies & Services,Artistes Fees,ALAN CLAYTON CONCERTS LTD,27/11/2014,"5,243.46",,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAG,Supplies & Services,Materials,Sign Holders Direct,25/11/2014,284.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAH,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,17/11/2014,210.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAM,Supplies & Services,Other - Arts Development,MBO Safety Services Limited,07/11/2014,800.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,20/11/2014,301.40,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,N.W. LEVERS LIMITED T/A HULLEYS FROZEN,27/11/2014,128.40,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/11/2014,330.34,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/11/2014,146.34,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/11/2014,115.60,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/11/2014,115.60,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,20/11/2014,218.32,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,20/11/2014,165.17,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,AON LTD,04/11/2014,636.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,MTFX Ltd,21/11/2014,125.00,,,,,,,,,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,NWN Media LTD,04/11/2014,215.00,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAV,Third Party Payments,Contractor Recharge,GREENHAM TRADING LTD,10/11/2014,102.81,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAV,Third Party Payments,Contractor Recharge,HARPER ADAMS UNIVERSITY COLLEGE,17/11/2014,3300,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAV,Third Party Payments,Contractor Recharge,TFM FARM & COUNTRY SUPERSTORE LTD,26/11/2014,250.40,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAW,Supplies & Services,Sub Contractors,TELFORD & WREKIN SERVICES LTD,25/11/2014,433.00,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAW,Supplies & Services,Sub Contractors,Treeman Tree Care,25/11/2014,920.00,,,,,,,,,
Neighbourhood & Leisure Services,Highways & Engineering,ESAW,Supplies & Services,Sub Contractors,Treeman Tree Care,03/11/2014,5470,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,HILBRAE PETS HOTEL,18/11/2014,1693.25,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,HILBRAE PETS HOTEL,18/11/2014,3037.25,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Employees,Other Employee Costs,TELFORD & WREKIN SERVICES LTD,18/11/2014,6044.94,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Equipment - Purchase,TELFORD & WREKIN SERVICES LTD,26/11/2014,139.68,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,BONINGALE NURSERIES,28/11/2014,166.63,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,24/11/2014,1403.78,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAE,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,24/11/2014,2592.16,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAN,Supplies & Services,Materials,KETLEY PARISH COUNCIL,19/11/2014,"7,500.00",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Materials,LAWLEY & OVERDALE P/C PRECEPT 20241166,19/11/2014,7500,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Materials,MADELEY PARISH COUNCIL 61044500,19/11/2014,2500,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Materials,WROCKWARDINE WOOD & TRENCH PC 06047988,18/11/2014,7500,,,,,,,,,
