Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,297.49,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,271.47,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,356.49,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,354.64,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,1696.84,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,630.99,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,2060.81,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,142.75,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,1578.04,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,173.67,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAS,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,125.96,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAS,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,739.86,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,9067.91,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,1024.07,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,9688.41,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,215.04,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,WPD MIDLANDS NETWORKS SERVICES LTD,31/10/2014,563.29,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,WPD MIDLANDS NETWORKS SERVICES LTD,06/10/2014,529.26,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,17/10/2014,738365.77,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,17/10/2014,148014.14,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,CH2M HILL,30/10/2014,2891.69,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,5684.23,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,574.48,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,1066.72,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,118.32,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,6869.71,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,09/10/2014,642.98,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),CH2M HILL,30/10/2014,769.28,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),H R Wallingford Limited,31/10/2014,350,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),H R Wallingford Limited,31/10/2014,350,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAK,Supplies & Services,Other Services,TELFORD & WREKIN SERVICES LTD,13/10/2014,175,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Employees,Staff Training,INSTITUTE OF HIGHWAYS ENGINEERS,23/10/2014,275,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,09/10/2014,5577.23,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,17/10/2014,4647.69,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,17/10/2014,-5577.23,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,27/10/2014,6736.61,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,02/10/2014,500,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,06/10/2014,7500,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,15/10/2014,4500,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,03/10/2014,4554.24,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,02/10/2014,6222.47,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,1584.93,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,1349.23,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,3708.56,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,2708.67,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,1373.34,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,444.54,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,29/10/2014,2684.93,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,29/10/2014,1346.26,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,10/10/2014,126,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,2415.16,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,28/10/2014,1838.71,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,E.ON UK LTD (HIGHWAYS LIGHTING ONLY),09/10/2014,37844,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,E.ON UK LTD (HIGHWAYS LIGHTING ONLY),28/10/2014,2229,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,30/10/2014,1518.22,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,10/10/2014,1540.1,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,277.74,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,Yotta,28/10/2014,2400,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,Yotta,31/10/2014,14547.09,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,Yotta,31/10/2014,3006.72,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,Yotta,31/10/2014,6377.56,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,01/10/2014,647.92,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,01/10/2014,1802.46,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,Lafarge Tarmac Trading Ltd,23/10/2014,22888.05,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,23/10/2014,48724.97,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,23/10/2014,40889.97,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,30/10/2014,2632.16,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,30/10/2014,234.89,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,30/10/2014,1782.8,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,30/10/2014,914.07,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,29/10/2014,588.69,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,Lafarge Tarmac Trading Ltd,23/10/2014,26739.09,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,02/10/2014,13400,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,17/10/2014,38598.8,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,Treeman Tree Care,17/10/2014,750,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,31/10/2014,5834.32,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,08/10/2014,510,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,113.85,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,5313.4,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,6384.12,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,1106.49,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,1180.8,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,1292.22,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,923.31,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,2855.32,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,582.74,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,UNICORN CONTAINERS LTD,30/10/2014,10197.6,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBE,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,8904.79,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WESB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,116536.16,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WESB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,26950,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Other Materials,RAP SERVICES LTD T/A TELFORD TOILET HIRE,03/10/2014,400,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Other Materials,RAP SERVICES LTD T/A TELFORD TOILET HIRE,22/10/2014,400,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Supplies & Services,Sport Equip - Purchase,PLAYSAFETY LTD,01/10/2014,6651.23,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Supplies & Services,Sport Equip - Purchase,RAMPMENTAL LTD,02/10/2014,1105.56,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Supplies & Services,Sport Equip - Purchase,RAMPMENTAL LTD,02/10/2014,466.44,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Heritage and Culture,WEST MIDLANDS PARKS FORUM,01/10/2014,250,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Transport-Related Expenditure,District Council Vehicles,CHARLIES STORES LTD,13/10/2014,632.59,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,BACH VENTURES LTD,23/10/2014,510,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,Challenge Fundraising,16/10/2014,330,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,03/10/2014,653.1,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,16/10/2014,729.2,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,16/10/2014,761.98,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,23/10/2014,606.47,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,16/10/2014,1064.34,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,HENLLAN BREAD (UK) LIMITED,23/10/2014,103.9,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,16/10/2014,567.15,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,02/10/2014,623.61,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,02/10/2014,671.13,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,23/10/2014,806,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,THE OUTDOORS COMPANY,23/10/2014,145.06,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Fuel,Beacon Filling Station,16/10/2014,283.96,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,23/10/2014,360.83,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,23/10/2014,101.4,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,16/10/2014,425,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,09/10/2014,517,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,06/10/2014,-102,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Equipment - Purchase,HAMMONDS CATERING SERVICES LTD,02/10/2014,100.5,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Protective Clothing,SBA LTD,30/10/2014,182.04,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAJ,Supplies & Services,Equipment - Hire,INVESTEC ASSET FINANCE PLC,29/10/2014,324.79,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAJ,Supplies & Services,Equipment - Purchase,SPS LLP,21/10/2014,114.52,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Equipment - Purchase,Les Mills Fitness UK Ltd,06/10/2014,205.38,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Equipment - Purchase,Les Mills Fitness UK Ltd,06/10/2014,205.38,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Equipment - Purchase,Les Mills Fitness UK Ltd,06/10/2014,205.38,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Licences,Les Mills Fitness UK Ltd,21/10/2014,205.38,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Licences,Les Mills Fitness UK Ltd,21/10/2014,205.38,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAP,Employees,Professional Subs,Snowsport England,27/10/2014,416.25,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAP,Supplies & Services,Equipment - Purchase,AMER SPORTS UK LTD,28/10/2014,193.3,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAR,Supplies & Services,Wet Resale Provision,BIKOLD,30/10/2014,144.92,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAR,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,30/10/2014,238.56,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBC,Supplies & Services,Other Services,INTERSERVE (FACILITIES MANAGEMENT) LTD,30/10/2014,165.5,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBC,Supplies & Services,Other Services,P & MM LIMITED,22/10/2014,3539.37,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBD,Supplies & Services,Sport Equip - Purchase,BISHOP SPORTS AND LEISURE LTD,21/10/2014,909.2,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBG,Supplies & Services,Other Services,BikeRight!,21/10/2014,980,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBG,Supplies & Services,Other Services,SILK GROUP LTD,30/10/2014,1351.15,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBW,Supplies & Services,Sport Equip - Purchase,SOUND DYNAMICS LIMITED,28/10/2014,249.98,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Premises-Related Expenditure,Swimming Pool Chemicals,J P LENNARD LTD,28/10/2014,125.9,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,08/10/2014,533.92,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Chemicals/Cleaning Products,J P LENNARD LTD,29/10/2014,150.03,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Chemicals/Cleaning Products,White Line (Telford) Ltd,16/10/2014,191,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Hire,White Line (Telford) Ltd,27/10/2014,176,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,08/10/2014,343.55,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Stationery,SIGNS EXPRESS (TELFORD),09/10/2014,217,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Premises-Related Expenditure,Preventative Maintenance,CYBEX INTERNATIONAL UK LTD,17/10/2014,283,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Equipment - Purchase,SOUND DYNAMICS LIMITED,28/10/2014,1069,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Sport Equip - Purchase,SOUND DYNAMICS LIMITED,28/10/2014,299,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,02/10/2014,1735.83,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,09/10/2014,5114.08,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,09/10/2014,786.25,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,09/10/2014,643.12,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,13/10/2014,300,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Advertising,INANDAROUND MAGAZINES,14/10/2014,328.84,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Printing - Print Room,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,-195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Printing - Print Room,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Printing - Print Room,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Printing - Print Room,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Printing - Print Room,THE MIDLAND NEWS ASSOCIATION LTD,14/10/2014,195,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Employees,Superannuation Admin,SHROPSHIRE COUNCIL,17/10/2014,858.44,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Supplies & Services,Flex Charges,CLARITY RETAIL SYSTEMS LTD,21/10/2014,4834,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Supplies & Services,Flex Charges,CLARITY RETAIL SYSTEMS LTD,24/10/2014,287.55,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDJ,Supplies & Services,Legal Expenses,BEVAN BRITTAN,14/10/2014,916,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDN,Supplies & Services,Equipment - Purchase,SOUND DYNAMICS LIMITED,27/10/2014,266,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Hire,OAKLEYS LTD,28/10/2014,525.75,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Licences,The Professional Golfers Association,17/10/2014,390,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Premises-Related Expenditure,R&M WC Planned,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,01/10/2014,685,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Premises-Related Expenditure,R&M WC Planned,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,08/10/2014,990.93,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Premises-Related Expenditure,R&M WC Planned,SIGNS EXPRESS (TELFORD),08/10/2014,142,,,
