Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Neighbourhood & Leisure Services,Arts & Culture,LCAE,Supplies & Services,Artistes Fees,Solid Gold Country Legends,01/12/2014,870.85,,
Neighbourhood & Leisure Services,Arts & Culture,LCAL,Supplies & Services,Artistes Fees,THE CULTURAL SISTERS,15/12/2014,577.50,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Equipment - Purchase,A1 BARSTUFF LTD,30/12/2014,110.00,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Equipment - Purchase,A1 BARSTUFF LTD,30/12/2014,119.80,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,244.08,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,364.32,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,122.24,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,105.20,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,105.20,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,BIKOLD,17/12/2014,102.69,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Other Expenses,DMC STOCKTAKING,10/12/2014,320.00,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,495.51,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,218.32,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,219.51,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,131.64,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,164.40,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,164.40,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,164.40,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,274.00,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,04/12/2014,145.98,,
Neighbourhood & Leisure Services,Arts & Culture,LCAN,Supplies & Services,Confectionery & Snacks,N.W. LEVERS LIMITED T/A HULLEYS FROZEN,31/12/2014,128.40,,
Neighbourhood & Leisure Services,Arts & Culture,LCAQ,Transport-Related Expenditure,Contract Hire,AT BROWN (COACHES) LTD,19/12/2014,387.00,,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,BUSINESS WATCH GUARDING LIMITED,29/12/2014,553.50,,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Marketing & Publicity,Fools Paradise Ltd,10/12/2014,"1,190.00",,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,Stage and Studios Services Limited,30/12/2014,"3,750.00",,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,TELFORD INTERNATIONAL CENTRE,19/12/2014,"2,000.00",,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,TELFORD INTERNATIONAL CENTRE,19/12/2014,"3,000.00",,
Neighbourhood & Leisure Services,Arts & Culture,LCAX,Supplies & Services,Promotion Expenses,TELFORD INTERNATIONAL CENTRE,19/12/2014,"5,155.00",,
Neighbourhood & Leisure Services,Highways & Engineering,ESAT,Supplies & Services,Other Services,Ground Control Limited,22/12/2014,"2,700.25",,
Neighbourhood & Leisure Services,Highways & Engineering,ESAT,Supplies & Services,Other Services,R W Services Contractors Limited,22/12/2014,"2,848.84",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,HILBRAE PETS HOTEL,23/12/2014,"3,155.25",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,OAKVILLE VETERINARY SURGERY,01/12/2014,149.44,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,OAKVILLE VETERINARY SURGERY,01/12/2014,260.61,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,OAKVILLE VETERINARY SURGERY,01/12/2014,235.35,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,OAKVILLE VETERINARY SURGERY,01/12/2014,210.35,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ECAF,Supplies & Services,Other Services,OAKVILLE VETERINARY SURGERY,01/12/2014,116.76,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,03/12/2014,369.84,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,BONINGALE NURSERIES,10/12/2014,"3,811.30",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,JAMES COLES & SONS (NURSERIES) LTD,16/12/2014,339.96,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,LUBBE & SONS (BULBS)LTD,10/12/2014,349.95,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,LUBBE & SONS (BULBS)LTD,05/12/2014,"1,297.97",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Supplies & Services,Other Materials,LUBBE & SONS (BULBS)LTD,02/12/2014,550.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAB,Third Party Payments,Private Contractors,KEEP BRITAIN TIDY,30/12/2014,685.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAE,Third Party Payments,Contractor Recharge,DARLINGTON BOROUGH COUNCIL,17/12/2014,"6,132.46",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Materials,HOLLINSWOOD & RANDLAY PARISH COUNCIL,09/12/2014,"7,500.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Other Services,TELFORD & WREKIN SERVICES LTD,01/12/2014,"1,665.44",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,A HAND SERVICES (Dyno Rod) LTD,09/12/2014,693.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,A HAND SERVICES (Dyno Rod) LTD,09/12/2014,126.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,A HAND SERVICES (Dyno Rod) LTD,09/12/2014,750.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,"1,429.30",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,"1,411.15",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,759.82,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,175.93,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,727.77,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,"1,676.02",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,19/12/2014,721.59,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,151.73,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"5,344.72",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,749.24,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"6,781.39",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"3,927.73",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,982.93,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,677.20,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),09/12/2014,"137,386.75",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,274.67,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,210.41,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAN,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,162.35,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"1,368.01",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAP,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,432.65,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAS,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,493.99,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAS,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,811.21,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"6,488.73",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,WESTERN POWER DISBRIBUTIONS,16/12/2014,157.26,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,WPD MIDLANDS NETWORKS SERVICES LTD,31/12/2014,"2,241.84",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Supplies & Services,Other Expenses,KIWA Ltd,15/12/2014,"14,320.40",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,10/12/2014,"921,610.29",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,10/12/2014,"706,949.50",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,CH2M HILL,19/12/2014,"3,069.53",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,CH2M HILL,02/12/2014,"4,299.14",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAC,Premises-Related Expenditure,R&M WC Planned,FITZGERALD CONTRACTORS LTD,01/12/2014,371.14,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Subscriptions,ASSOCIATION OF DRAINAGE AUTHORITIES,09/12/2014,295.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAL,Supplies & Services,Other Grants (Expenses),A HAND SERVICES (Dyno Rod) LTD,09/12/2014,189.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAL,Supplies & Services,Other Services,ENVIRONMENT AGENCY,11/12/2014,"13,311.25",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Conference Expenses,PUBLIC POLICY EXCHANGE LIMITED,09/12/2014,295.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Equipment - Hire,STANFORD MARSH FINANCE LTD,09/12/2014,345.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,15/12/2014,"3,575.05",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,01/12/2014,"8,759.15",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,01/12/2014,"2,141.52",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,10/12/2014,"1,306.37",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,10/12/2014,"2,001.96",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,09/12/2014,301.52,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"6,993.91",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"4,639.57",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"4,706.75",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"3,178.88",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"8,037.80",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,564.46,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"1,183.16",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,03/12/2014,"1,729.69",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,09/12/2014,"5,331.16",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,Crown Construction Services,09/12/2014,"3,640.78",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,15/12/2014,"15,435.68",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,Landor LINKS Ltd,19/12/2014,645.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,Morelock Signs Ltd,09/12/2014,"2,914.83",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,South Staffs Surveys Ltd T/A STAFSURV,16/12/2014,"7,365.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,09/12/2014,"4,400.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,"2,850.42",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,"10,629.67",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,External Professional Fees,CH2M HILL,31/12/2014,100.54,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,991.83,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,22/12/2014,"7,323.67",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,09/12/2014,"9,565.02",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,09/12/2014,"9,771.31",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,09/12/2014,"3,140.23",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,09/12/2014,"5,210.34",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"5,200.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,727.62,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,31/12/2014,342.04,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,31/12/2014,313.94,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,09/12/2014,"50,002.90",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,09/12/2014,"43,891.18",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,19/12/2014,791.68,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,19/12/2014,415.48,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,19/12/2014,"2,177.78",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,19/12/2014,428.32,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,"1,419.35",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,472.91,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,319.22,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,02/12/2014,994.36,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,295.62,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,02/12/2014,242.90,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,04/12/2014,581.91,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,04/12/2014,"2,222.71",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/12/2014,"2,864.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,JAMES LISTER & SONS LTD,18/12/2014,170.64,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,22/12/2014,"18,960.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,22/12/2014,"25,575.89",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,Treeman Tree Care,10/12/2014,"1,869.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,Treeman Tree Care,10/12/2014,"1,560.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,Treeman Tree Care,10/12/2014,"2,860.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,12/12/2014,"8,711.60",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"1,481.40",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"2,238.89",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,308.55,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,19/12/2014,150.00,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,Treeman Tree Care,19/12/2014,"12,549.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,22/12/2014,"6,538.00",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBE,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,15/12/2014,"71,026.31",,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBF,Capital Expenditure,Payments to Contractor,WESTERN POWER DISBRIBUTIONS,16/12/2014,782.94,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WESB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,16/12/2014,"51,550.00",,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Supplies & Services,Other Services,RAMPMENTAL LTD,23/12/2014,"1,320.00",,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Supplies & Services,Sport Equip - Purchase,WICKSTEED LEISURE LTD,15/12/2014,181.43,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,Jade Security Service Ltd,17/12/2014,120.60,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,Jade Security Service Ltd,17/12/2014,120.60,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/12/2014,285.00,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Employees,Course Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,19/12/2014,260.00,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Employees,Staff Training,Peak Mountaineering,12/12/2014,850.00,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,ADVENTURE KIT UK LIMITED,17/12/2014,773.00,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,BRENIG,09/12/2014,"1,523.00",,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,17/12/2014,563.41,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,12/12/2014,669.84,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,12/12/2014,449.27,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,19/12/2014,"1,021.85",,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,09/12/2014,"1,773.68",,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,DMM,17/12/2014,218.50,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Equipment - Hire,ERIC NEVILLE CATERING SUPPLIES LTD,09/12/2014,196.00,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Equipment - Hire,ERIC NEVILLE CATERING SUPPLIES LTD,15/12/2014,170.00,,
