Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),06/06/2018,"25,568.33"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),IRONBRIDGE GORGE MUSEUM TRUST LTD,06/06/2018,"3,100.00"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),POHWER,22/06/2018,"3,714.00"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Third Party Payments,Private Contractors,POHWER,14/06/2018,"16,137.25"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),Wealden & Eastbourne Lifeline (WELBEING),14/06/2018,"6,991.97"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),Impact Alcohol Addiction Services,06/06/2018,290
"Governance, Procurement & Commissioning",Procurement & Brokerage,Third Party Payments,Joint Financing,West Mercia Police & Crime Commissioner,26/06/2018,"66,932.75"
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),The  British Red Cross,01/06/2018,"5,182.50"
Health & Well-being,Civil Resilience,Premises-Related Expenditure,Service Contracts,Williams Limousine Hire Ltd,25/06/2018,600
Health & Well-being,Consultant in Public Health,Capital Expenditure,Other Capital Expenditure,TACT,28/06/2018,"3,137.70"
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Expenses,SHROPSHIRE COUNCIL ,20/06/2018,"178,279.47"
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/06/2018,"33,801.25"
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/06/2018,"227,333.33"
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,07/06/2018,"4,282.80"
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,01/06/2018,887
Health & Well-being,Consultant in Public Health,Supplies & Services,Consultancy,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,01/06/2018,"2,038.00"
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,04/06/2018,"514,000.00"
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Staffordshire & Stoke-On-Trent Partnership NHS trust,28/06/2018,133.49
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Walsall Healthcare NHS tRUST,28/06/2018,137
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,NHS Telford and Wrekin CCG ,28/06/2018,"3,138.22"
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG ,28/06/2018,"4,660.11"
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,NHS Telford and Wrekin CCG ,28/06/2018,"2,168.68"
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,NHS Telford and Wrekin CCG ,07/06/2018,"10,000.00"
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,STIRCHLEY MEDICAL PRACTICE,19/06/2018,"1,925.00"
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,28/06/2018,272.5
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,North 51 Limited,01/06/2018,"13,920.00"
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Plymouth Hospitals NHS Trust,28/06/2018,133
Health & Well-being,Consultant in Public Health,Employees,Staff Training,The Training Tree Limited,26/06/2018,754
Health & Well-being,Consultant in Public Health,Employees,Professional Subs,UK Public Health Register,07/06/2018,321
Health & Well-being,Consultant in Public Health,Employees,Professional Subs,UK Public Health Register,07/06/2018,321
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,Midlands Partnership NHS Trust,28/06/2018,"3,961.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,RARING TO GO,22/06/2018,139
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,RARING TO GO,22/06/2018,259
Health & Well-being,Culture & Recreation,Supplies & Services,Instructors Fees,Entrust Support Services Ltd,27/06/2018,"2,500.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Confectionery & Snacks,Eden Farm Hulleys,28/06/2018,115.2
Health & Well-being,Culture & Recreation,Supplies & Services,Confectionery & Snacks,Eden Farm Hulleys,28/06/2018,276.64
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,REDACTED PERSONAL INFORMATION,04/06/2018,230
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,REDACTED PERSONAL INFORMATION,15/06/2018,710
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Hire,TELFORD & WREKIN SERVICES LTD,04/06/2018,728
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Hire,TELFORD & WREKIN SERVICES LTD,04/06/2018,"1,981.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Purchase,Marquees over Shropshire Ltd,20/06/2018,"5,466.95"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,ARTISTES INTERNATIONAL MANAGEMENT,29/06/2018,"7,542.99"
Health & Well-being,Culture & Recreation,Supplies & Services,Crockery/Hardware/Light Equip,A1 BARSTUFF LTD,11/06/2018,202.47
Health & Well-being,Culture & Recreation,Supplies & Services,Audit Services,DMC STOCKTAKING,15/06/2018,160
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,21/06/2018,144
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,06/06/2018,179.1
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,18/06/2018,144
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,06/06/2018,226.8
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,M C MARKETING LTD,08/06/2018,725
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,M C MARKETING LTD,29/06/2018,725
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,M C MARKETING LTD,20/06/2018,-870
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,28/06/2018,184.5
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,28/06/2018,158.88
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,18/06/2018,369
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,18/06/2018,158.88
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,369
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,190.14
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,145.45
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,236.06
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,134.26
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,157.24
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,152.74
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,134.32
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,258.84
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,186.36
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,423.68
Health & Well-being,Culture & Recreation,Supplies & Services,Wet Resale Provision,MOLSON COORS BREWING COMPANY UK LTD,06/06/2018,142.5
Health & Well-being,Culture & Recreation,Premises-Related Expenditure,Grounds Maintenance - Other,PROKILL UK LIMITED,06/06/2018,159.6
Health & Well-being,Culture & Recreation,Premises-Related Expenditure,Grounds Maintenance - Other,PROKILL UK LIMITED,06/06/2018,159.6
Health & Well-being,Culture & Recreation,Supplies & Services,Promotion Expenses,TWENTY FIRST CENTURY MEDIA GROUP LTD,22/06/2018,788
Health & Well-being,Culture & Recreation,Supplies & Services,Promotion Expenses,TWENTY FIRST CENTURY MEDIA GROUP LTD,22/06/2018,"1,500.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Promotion Expenses,TWENTY FIRST CENTURY MEDIA GROUP LTD,28/06/2018,600
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,WHATS ON MAGAZINES LTD ,08/06/2018,950
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,WHATS ON MAGAZINES LTD ,18/06/2018,275
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,WHATS ON MAGAZINES LTD ,06/06/2018,385
Health & Well-being,Culture & Recreation,Supplies & Services,First Aid,Ambtrans UK Ltd,15/06/2018,"1,850.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Prestige Productions,04/06/2018,"5,311.85"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Neil Sands Productions,08/06/2018,"2,227.47"
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Hire,J.E.F Scaffolding Ltd,06/06/2018,750
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,ClearChannel Outdoor,22/06/2018,655
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Drysuits,29/06/2018,"1,356.09"
Health & Well-being,Culture & Recreation,Supplies & Services,Promotion Expenses,Spektrix Limited,13/06/2018,"2,041.59"
Health & Well-being,Culture & Recreation,Supplies & Services,Computer Hardware (Maint),Geerings Print Ltd,27/06/2018,544.5
Health & Well-being,Culture & Recreation,Supplies & Services,Security Services,K2 Services Ltd,15/06/2018,"7,572.70"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Clive Conway Celebrity Productions Ltd,06/06/2018,"3,250.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,Bauer Radio Ltd,08/06/2018,714.48
Health & Well-being,Culture & Recreation,Supplies & Services,Advertising,Bauer Radio Ltd,18/06/2018,"1,264.08"
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Purchase,Cyberstein Robots Limited,21/06/2018,"2,090.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Marketing & Publicity,Hytner Exhibitions Limited,08/06/2018,640
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Blue Jeans Management,29/06/2018,"1,874.73"
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Hire,VP Plc - Hire Station,06/06/2018,418
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Friends of Redhill School,04/06/2018,"3,604.27"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Ironbridge Fine Arts & Framing,22/06/2018,761.53
Health & Well-being,Culture & Recreation,Supplies & Services,Equipment - Hire,Construct-Equip,20/06/2018,120
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Runtime (UK) Ltd,21/06/2018,"2,006.00"
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,From The Heart Productions,22/06/2018,500
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Peter Powell Kites Ltd,27/06/2018,200
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Graham Steel Music Company Ltd,29/06/2018,436.6
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,Anstice Community Trust,29/06/2018,470.4
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,DONNINGTON MEDICAL PRACTICE,08/06/2018,300
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,DONNINGTON MEDICAL PRACTICE,08/06/2018,375
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,INTERSERVE (FACILITIES MANAGEMENT) LTD,11/06/2018,147.56
Health & Well-being,Health Improvement,Supplies & Services,Equipment - Purchase,NHS Telford and Wrekin CCG,26/06/2018,601.28
Health & Well-being,Health Improvement,Supplies & Services,Equipment - Purchase,NHS Telford and Wrekin CCG,08/06/2018,977.58
Health & Well-being,Health Improvement,Supplies & Services,Equipment - Purchase,NHS Telford and Wrekin CCG,14/06/2018,"1,152.63"
Health & Well-being,Health Improvement,Supplies & Services,Equipment - Purchase,NHS Telford and Wrekin CCG,14/06/2018,"2,383.54"
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,CHARLTON MEDICAL CENTRE,08/06/2018,400
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,CHARLTON MEDICAL CENTRE,14/06/2018,350
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,DONNINGTON PARTNERSHIP,07/06/2018,112
Health & Well-being,Health Improvement,Employees,Training Exp's (Facilitators),Lifestyle Connect,14/06/2018,"1,620.00"
Health & Well-being,Health Improvement,Employees,Training Exp's (Facilitators),Lifestyle Connect,14/06/2018,"2,040.00"
Health & Well-being,Health Improvement,Premises-Related Expenditure,Hire Of Rooms,Brookside Central,28/06/2018,224
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,28/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,28/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,08/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,08/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,01/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,01/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,342.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/06/2018,691.18
Health & Well-being,My Options,Supplies & Services,Equipment - Purchase,Reacted Personal Information,11/06/2018,108.56
Health & Well-being,My Options,Supplies & Services,Equipment - Purchase,Reacted Personal Information,05/06/2018,249.83
Health & Well-being,My Options,Supplies & Services,Laundry & Towel Hire,ANGEL SPRINGS LTD / PHS GROUP,29/06/2018,165.02
Health & Well-being,My Options,Supplies & Services,Laundry & Towel Hire,ANGEL SPRINGS LTD / PHS GROUP,29/06/2018,165.02
Health & Well-being,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ANGEL SPRINGS LTD / PHS GROUP,13/06/2018,107.83
Health & Well-being,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ANGEL SPRINGS LTD / PHS GROUP,18/06/2018,158.8
Health & Well-being,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ANGEL SPRINGS LTD / PHS GROUP,05/06/2018,198.09
Health & Well-being,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ANGEL SPRINGS LTD / PHS GROUP,05/06/2018,118.35
Health & Well-being,My Options,Supplies & Services,Laundry & Towel Hire,ANGEL SPRINGS LTD / PHS GROUP,08/06/2018,207.48
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/06/2018,255.3
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,28/06/2018,255.3
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,07/06/2018,255.3
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,08/06/2018,400
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,01/06/2018,255.3
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,148.11
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,148.11
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,255.3
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,05/06/2018,148.11
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,12/06/2018,444.33
Health & Well-being,My Options,Supplies & Services,Printing - Other,The Severn Sign & Print Company Ltd,28/06/2018,110
Health & Well-being,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,29/06/2018,214.89
Health & Well-being,My Options,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,29/06/2018,474.14
Health & Well-being,My Options,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,29/06/2018,307.37
Health & Well-being,My Options,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,01/06/2018,300
Health & Well-being,My Options,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,13/06/2018,180
Health & Well-being,My Options,Transport-Related Expenditure,Transport Contractors,Reacted Personal Information,27/06/2018,415
Health & Well-being,My Options,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,13/06/2018,300
Health & Well-being,My Options,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,29/06/2018,500.14
Health & Well-being,My Options,Supplies & Services,Equipment - Purchase,CARE MONITORING 2000 LTD,28/06/2018,"6,953.00"
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,745.22
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,196.91
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,13/06/2018,804.99
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,19/06/2018,308.18
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,19/06/2018,616.02
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,19/06/2018,861.86
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,335.92
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,254.98
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,29/06/2018,521.08
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,29/06/2018,334.39
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,29/06/2018,990.04
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,12/06/2018,975.05
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,13/06/2018,255.96
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,13/06/2018,545.24
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,27/06/2018,"1,273.32"
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,13/06/2018,505.66
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,19/06/2018,"1,139.86"
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,850.38
Health & Well-being,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/06/2018,391.96
Health & Well-being,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,27/06/2018,782.86
Health & Well-being,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,27/06/2018,855.71
Health & Well-being,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,28/06/2018,212.3
Health & Well-being,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,08/06/2018,795.86
Health & Well-being,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,04/06/2018,217.78
Health & Well-being,My Options,Supplies & Services,Items For Resale,CHARLES NEAL BIRMINGHAM LTD,21/06/2018,260
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/06/2018,362.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,28/06/2018,362.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,08/06/2018,362.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,01/06/2018,362.15
Health & Well-being,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,15/06/2018,362.15
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Travel,ARRIVA MIDLANDS NORTH LTD ,29/06/2018,576
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Concessionary Travel,ARRIVA MIDLANDS NORTH LTD ,05/06/2018,180
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,13/06/2018,"-1,621.00"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,13/06/2018,324.2
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,06/06/2018,"1,621.00"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal Expenses,Reacted Personal Information,06/06/2018,"1,216.20"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal Expenses,Reacted Personal Information,06/06/2018,221
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,ABACUS DAY NURSERY 81819186,25/06/2018,108
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,ABC DAY NURSERY (HOO)  ,25/06/2018,294
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,ABC DAY NURSERY (HOO)  ,26/06/2018,207.9
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,25/06/2018,139.67
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,06/06/2018,106.25
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,06/06/2018,109.8
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,FORENSIC PSYCHOLOGY PRACTICE,06/06/2018,"3,087.50"
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,NOAH'S ARK NURS & AFTER SCH CLUB,06/06/2018,398.45
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,NOAH'S ARK NURS & AFTER SCH CLUB,06/06/2018,224.3
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Equipment - Hire,QUICK SKIPS (TELFORD) LTD,27/06/2018,180
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,06/06/2018,426.25
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,06/06/2018,389.25
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Equipment - Purchase,STUBLEYS WAREHOUSE,06/06/2018,190
Safeguarding and Early Help,Child Protection & Family Support,Premises-Related Expenditure,Bed & Breakfast Charges,WHITEHOUSE HOTELS LTD,25/06/2018,470.83
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,CARTER BROWN LIMITED,25/06/2018,550
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,CARTER BROWN LIMITED,25/06/2018,614.75
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,CARTER BROWN LIMITED,25/06/2018,"1,050.00"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,CARTER BROWN LIMITED,06/06/2018,121.68
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,CARTER BROWN LIMITED,06/06/2018,774.5
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,25/06/2018,"3,220.00"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,06/06/2018,"1,970.00"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,06/06/2018,825
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal Expenses,Wright McMillian Bennett Law,14/06/2018,703.16
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,ABC Day Nursery Hadley ,25/06/2018,218.4
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal Expenses,Mortimers,25/06/2018,758.79
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal,No 5 Chambers ,25/06/2018,600
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal,No 5 Chambers ,25/06/2018,600
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,Right Mediation,06/06/2018,800
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,Right Mediation,06/06/2018,800
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,Right Mediation,06/06/2018,800
Safeguarding and Early Help,Child Protection & Family Support,Premises-Related Expenditure,Bed & Breakfast Charges,Firs Riverside B & B,25/06/2018,"2,440.80"
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,DMR Services Ltd,25/06/2018,591.76
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Social Care External Contact,DMR Services Ltd,06/06/2018,360
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,Westbury Health Limited,06/06/2018,457.2
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Other Services,Westbury Health Limited,06/06/2018,457.2
Safeguarding and Early Help,Child Protection & Family Support,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted Personal Information,25/06/2018,700
Safeguarding and Early Help,Child Protection & Family Support,Third Party Payments,Childminders,Bojangles Nursery (West Midlands)Ltd,06/06/2018,253
Safeguarding and Early Help,Child Protection & Family Support,Supplies & Services,Legal,Cornwall Street Barristers,25/06/2018,500
