Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
Education & Corporate Parenting,Consultancy & Advisory Services,Premises-Related Expenditure,Hire Of Rooms,RAMADA TELFORD IRONBRIDGE,25/05/2018, 104.68 ,
Education & Corporate Parenting,Consultancy & Advisory Services,Supplies & Services,Training Costs - Participants Recharged,RAMADA TELFORD IRONBRIDGE,25/05/2018, 121.95 ,
Education & Corporate Parenting,Consultancy & Advisory Services,Supplies & Services,Other Grants (Expenses),Grange Park Primary School - Community Academies Trust,01/05/2018, 450.00 ,
Education & Corporate Parenting,Consultancy & Advisory Services,Third Party Payments,3 & 4 Year Old Funding,Chipmunks Nursery OSC Ltd 2,03/05/2018," 8,062.65 ",
Education & Corporate Parenting,Consultancy & Advisory Services,Transport-Related Expenditure,Taxi Costs,Travel Wood LTD,11/05/2018," 1,350.00 ",
Finance & Human Resources,Corporate Codes,Supplies & Services,Other Grants (Expenses),MADELEY PARISH COUNCIL 61044500,25/05/2018, 108.33 ,
Finance & Human Resources,Corporate Codes,Supplies & Services,Other Grants (Expenses),STIRCHLEY & BROOKSIDE PARISH COUNCIL (NON PRECEPT),04/05/2018," 30,500.00 ",
Finance & Human Resources,Corporate Codes,Employees,Holiday Pay P21,Tuskerdirect Ltd,09/05/2018, 307.82 ,
Finance & Human Resources,Corporate Codes,Employees,Agency Supply Costs,Matrix SCM,23/05/2018," 25,082.31 ",
Finance & Human Resources,Corporate Codes,Employees,Agency Supply Costs,Matrix SCM,08/05/2018," 34,178.84 ",
Finance & Human Resources,Corporate Codes,Employees,Agency Supply Costs,Matrix SCM,15/05/2018," 34,714.99 ",
Finance & Human Resources,Corporate Codes,Supplies & Services,Other Grants (Expenses),Great Dawley Town Council,25/05/2018," 2,976.09 ",
Finance & Human Resources,Corporate Codes,Supplies & Services,Other Grants (Expenses),The Living Room,16/05/2018," 15,000.00 ",
Finance & Human Resources,Corporate Codes,Supplies & Services,Other Grants (Expenses),Sutton Hill Community Trust,16/05/2018," 50,385.00 ",
Finance & Human Resources,Employment Services & Purchase Ledger,Supplies & Services,Computer Software (Maint),BOTTOMLINE TECHNOLOGIES,30/05/2018," 5,899.98 ",
Finance & Human Resources,Finance,Supplies & Services,Other Services,ALLPAY.NET LIMITED,15/05/2018," 2,944.25 ",
Finance & Human Resources,Finance,Supplies & Services,Other Services,ALLPAY.NET LIMITED,15/05/2018, 386.74 ,
Finance & Human Resources,Finance,Supplies & Services,Other Services,ALLPAY.NET LIMITED,15/05/2018, 162.67 ,
Finance & Human Resources,Finance,Supplies & Services,Other Services,NORTHERN HOUSING CONSORTIUM LTD,01/05/2018," 1,085.00 ",
Finance & Human Resources,"Finance Manager (Business, Education & Care)",Employees,Professional Subs,C I P F A,10/05/2018, 310.00 ,
Finance & Human Resources,"Finance Manager (Business, Education & Care)",Employees,Professional Subs,Chartered Institute of Management Accountants (CIMA),17/05/2018,-278.00 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Supplies & Services,Bank Charges,TALL Security Print Ltd,24/05/2018, 105.00 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Supplies & Services,Bank Charges,TALL Security Print Ltd,24/05/2018, 479.00 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Employees,Professional Subs,Chartered Institute of Management Accountants (CIMA),17/05/2018,-278.00 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Employees,Other Training,CIPFA BUSINESS LTD,10/05/2018, 190.00 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Supplies & Services,Publications,FL MEMO LTD,10/05/2018, 148.75 ,
Finance & Human Resources,Finance Manager (Corporate & Capital),Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,23/05/2018, 166.32 ,
Finance & Human Resources,Human Resources,Employees,Criminal Records Bureau Checks,Capita Recruitment Vetting Service ,09/05/2018, 489.45 ,
Finance & Human Resources,Human Resources,Employees,Criminal Records Bureau Checks,DISCLOSURE & BARRING SERVICE,09/05/2018," 8,254.00 ",
Finance & Human Resources,Human Resources,Supplies & Services,Subscriptions,West Midlands Employers,24/05/2018," 12,920.00 ",
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP LTD ,03/05/2018, 761.72 ,
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP LTD ,17/05/2018," 1,983.68 ",
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP LTD ,03/05/2018," 1,794.92 ",
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP LTD ,29/05/2018," 1,262.79 ",
Finance & Human Resources,Revenues,Supplies & Services,Computer Software (Maint),CIVICA SERVICES LTD ,29/05/2018, 338.48 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,CDP Print Management,21/05/2018, 399.05 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,CDP Print Management,03/05/2018, 134.32 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,Potts Print (UK) Ltd,29/05/2018, 228.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Franking Machine Service - Debit,FRANCOTYP-POSTALIA LTD (POSTAGE),17/05/2018," 3,000.00 ",
Finance & Human Resources,Revenues,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,17/05/2018, 300.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Postages,G FORCE EXPRESS PARCELS LTD,17/05/2018, 576.28 ,
Finance & Human Resources,Revenues,Employees,Professional Subs,IRRV,15/05/2018, 104.33 ,
Finance & Human Resources,Revenues,Supplies & Services,Conference Expenses,IRRV,21/05/2018, 250.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,LION FPG LIMITED,17/05/2018, 270.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,LEXON GB LTD,24/05/2018, 152.97 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,MARKETING AT THE MILL,22/05/2018, 136.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,MARKETING AT THE MILL,23/05/2018, 168.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,03/05/2018, 107.50 ,
Finance & Human Resources,Revenues,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,10/05/2018, 107.50 ,
Finance & Human Resources,Revenues,Third Party Payments,Debt Collection Agent,ROSSENDALES LTD,03/05/2018, 163.27 ,
Finance & Human Resources,Revenues,Third Party Payments,Debt Collection Agent,ROSSENDALES LTD,24/05/2018," 3,995.00 ",
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,23/05/2018, 477.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,09/05/2018, 173.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,09/05/2018, 168.00 ,
Finance & Human Resources,Revenues,Supplies & Services,Stationery,VIVID LAMINATING TECHNOLOGIES LTD,14/05/2018, 237.88 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,BAKER GOODCHILD MARKETING LTD,23/05/2018, 815.92 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,BAKER GOODCHILD MARKETING LTD,29/05/2018, 242.72 ,
Finance & Human Resources,Revenues,Supplies & Services,Postages,BAKER GOODCHILD MARKETING LTD,23/05/2018," 2,447.76 ",
Finance & Human Resources,Revenues,Supplies & Services,Postages,BAKER GOODCHILD MARKETING LTD,23/05/2018, 269.04 ,
Finance & Human Resources,Revenues,Supplies & Services,Postages,BAKER GOODCHILD MARKETING LTD,29/05/2018, 788.84 ,
Finance & Human Resources,Revenues,Supplies & Services,Printing - Other,WPG Limited,22/05/2018, 130.00 ,
"Governance, Procurement & Commissioning",Commissioning,Supplies & Services,Other Grants (Expenses),South Staffordshire and Shropshire Healthcare NHS Foundation Trust,01/05/2018," 10,416.64 ",
"Governance, Procurement & Commissioning",Commissioning,Supplies & Services,Other Grants (Expenses),South Staffordshire and Shropshire Healthcare NHS Foundation Trust,30/05/2018," 10,414.30 ",
"Governance, Procurement & Commissioning",Commissioning,Supplies & Services,Other Grants (Expenses),South Staffordshire and Shropshire Healthcare NHS Foundation Trust,30/05/2018," 10,416.30 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 1,796.04 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Course Fees,Venn Group Limited,22/05/2018," 1,244.76 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 1,837.95 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018, 359.21 ,
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,111.84 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 1,800.03 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,321.88 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 1,680.79 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 1,600.47 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018, 137.20 ,
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,033.02 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,008.07 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,545.39 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Venn Group Limited,22/05/2018," 2,049.48 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Supplies & Services,Legal Expenses,DWF LLP,25/05/2018," 5,010.40 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Sellick Partnership,22/05/2018," 1,394.77 ",
"Governance, Procurement & Commissioning",Democratic & Legal Services,Employees,Agency Supply Costs,Sellick Partnership,22/05/2018," 1,692.01 ",
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC ,29/05/2018, 103.20 ,
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC ,11/05/2018, 508.26 ,
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC ,11/05/2018, 310.75 ,
"Governance, Procurement & Commissioning",Democratic Services,Employees,Staff Training,ASSOCIATION OF ELECTORAL ADMINISTRATORS,18/05/2018, 165.00 ,
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,18/05/2018, 187.50 ,
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Printing - Other,IMPACT MAIL & PRINT LTD,04/05/2018, 646.79 ,
"Governance, Procurement & Commissioning",Democratic Services,Supplies & Services,Equipment - Purchase,ONLINE ERGONOMICS LTD,16/05/2018, 376.35 ,
"Governance, Procurement & Commissioning",Democratic Services,Premises-Related Expenditure,Hire Of Rooms,PARK INN TELFORD,01/05/2018, 333.33 ,
"Governance, Procurement & Commissioning",Democratic Services,Premises-Related Expenditure,Hire Of Rooms,WHITEHOUSE HOTELS LTD,24/05/2018, 139.62 ,
"Governance, Procurement & Commissioning",Democratic Services,Employees,Staff Training,XPRESS SOFTWARE SOLUTIONS LTD,24/05/2018, 500.00 ,
"Governance, Procurement & Commissioning",Democratic Services,Premises-Related Expenditure,Hire Of Rooms,ST GEORGES SPORTS & SOCIAL CLUB,03/05/2018, 175.00 ,
"Governance, Procurement & Commissioning",Democratic Services,Premises-Related Expenditure,Hire Of Rooms,Edgmond Village Hall,31/05/2018, 384.00 ,
"Governance, Procurement & Commissioning",Democratic Services,Transport-Related Expenditure,District Council Vehicles,K & L CARS,18/05/2018, 110.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),ANCHOR HOUSING TRUST,01/05/2018, 133.33 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),BROMFORD HOUSING ASSOCIATION LIMITED,01/05/2018," 29,250.00 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),BROMFORD HOUSING ASSOCIATION LIMITED,01/05/2018," 36,666.67 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),TELFORD CHRISTIAN COUNCIL SUPPORTED HOUS,01/05/2018," 32,175.67 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Refreshments Meetings,OAKENGATES TOWN COUNCIL,25/05/2018, 120.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Transport Contractors,Lloyds Coaches Ltd,31/05/2018, 665.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,Reacted personal Information ,15/05/2018," 1,910.00 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,Reacted personal Information ,29/05/2018, 312.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),SANCTUARY HOUSING ASSOCIATION ,01/05/2018, 610.70 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),HABINTEG HOUSING ASSOCIATION LTD,01/05/2018, 108.33 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),HANOVER HOUSING ASSOCIATION,01/05/2018, 750.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),OLD BEN HOMES,01/05/2018, 433.33 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),01/05/2018," 33,295.50 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 150.30 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 165.45 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 159.66 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 211.06 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 120.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,21/05/2018, 120.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 110.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 172.95 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 947.72 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,11/05/2018, 120.96 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,22/05/2018, 294.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 217.70 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 127.80 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 446.38 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 253.45 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/05/2018, 165.30 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,18/05/2018, 282.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,18/05/2018, 168.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,21/05/2018, 586.90 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,21/05/2018, 419.20 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,21/05/2018, 630.70 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,21/05/2018, 257.20 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,31/05/2018, 185.80 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,16/05/2018, 145.47 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Transport Contractors,LONGMYND TRAVEL LTD,14/05/2018, 560.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Transport Contractors,LONGMYND TRAVEL LTD,31/05/2018, 580.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CITIZENS ADVICE BUREAU,31/05/2018," 47,106.75 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WE ARE THE CARE COMPANY LTD,25/05/2018, 112.38 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WE ARE THE CARE COMPANY LTD,25/05/2018, 106.13 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WE ARE THE CARE COMPANY LTD,25/05/2018, 119.64 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WE ARE THE CARE COMPANY LTD,25/05/2018, 126.88 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),WE ARE THE CARE COMPANY LTD,25/05/2018, 119.63 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Transport Contractors,A-STAR TRANSPORT MIDLANDS LTD,21/05/2018," 2,973.30 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Transport Contractors,A-STAR TRANSPORT MIDLANDS LTD,15/05/2018," 2,973.30 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),Wealden & Eastbourne Lifeline (WELBEING),09/05/2018," 6,991.97 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Transport-Related Expenditure,Taxi Costs,Comet Cars Ltd,15/05/2018, 370.00 ,
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),Shropshire RCC,17/05/2018," 5,000.00 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,23/05/2018," 26,996.75 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,15/05/2018," 14,727.00 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,15/05/2018," 19,496.50 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,15/05/2018," 26,996.75 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,15/05/2018," 12,000.00 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),The  British Red Cross,23/05/2018," 5,182.50 ",
"Governance, Procurement & Commissioning",Procurement & Brokerage,Supplies & Services,Other Grants (Expenses),The  British Red Cross,23/05/2018," 5,182.50 ",
Health & Well-being,Civil Resilience,Supplies & Services,Computer Consumables,XMA LIMITED,02/05/2018, 505.98 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,DONNINGTON MEDICAL PRACTICE,02/05/2018," 3,060.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,WELLINGTON MEDICAL PRACTICE,01/05/2018," 1,582.04 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,WELLINGTON MEDICAL PRACTICE,02/05/2018, 280.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,WELLINGTON MEDICAL PRACTICE,09/05/2018," 2,625.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/05/2018," 33,801.25 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Other Services,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/05/2018," 227,333.33 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Asda Instore Pharmacy,02/05/2018, 330.75 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Asda Instore Pharmacy,02/05/2018, 110.25 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,02/05/2018," 1,061.75 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,02/05/2018, 539.75 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,02/05/2018, 477.75 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Boots the Chemist Ltd,02/05/2018, 236.25 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,24/05/2018,-887.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,24/05/2018,"-2,038.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Walsall Healthcare NHS tRUST,15/05/2018, 352.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Coventry and Warwickshire Partnership NHS Trust,02/05/2018, 108.61 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Nottingham University Hospitals,30/05/2018, 186.15 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,NHS Telford and Wrekin CCG ,15/05/2018, 297.91 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,CHARLTON MEDICAL CENTRE,02/05/2018, 880.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,DAWLEY MEDICAL PRACTICES,02/05/2018, 780.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,IRONBRIDGE MEDICAL PRACTICE,02/05/2018, 560.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,ILLY SYSTEMS LTD,01/05/2018," 7,215.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,LINDEN HALL SURGERY,02/05/2018," 2,360.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,LOUDMOUTH EDUCATION & TRAINING LTD,01/05/2018," 7,000.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,SHAWBIRCH MEDICAL PRACTICE,02/05/2018, 200.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,SUTTON HILL MEDICAL PRACTICE,02/05/2018," 1,260.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,SUTTON HILL MEDICAL PRACTICE,09/05/2018," 2,100.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,STIRCHLEY MEDICAL PRACTICE,02/05/2018, 740.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,WELLINGTON ROAD SURGERY,02/05/2018," 1,580.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,WOODSIDE MEDICAL PRACTICE,02/05/2018, 500.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,02/05/2018, 267.07 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Alere Uk Holdings Ltd,09/05/2018, 165.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Hollinswood and Priorslee Medical Practice,02/05/2018, 480.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Priorslee Pharmacy,09/05/2018, 138.25 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Woodside Pharmacy,02/05/2018, 195.50 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,North 51 Limited,30/05/2018," 10,260.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,A S CONSULTANTS LTD T/A Late Night High Street Pharmacy,02/05/2018, 575.75 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Service Contracts,Aquarius Action Projects,15/05/2018," 12,483.00 ",
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,TELDOC Partnership,02/05/2018, 320.00 ,
Health & Well-being,Consultant in Public Health,Supplies & Services,Sub Contractors,Manchester Uni NHS Foundation Trust,30/05/2018, 132.00 ,
Health & Well-being,Consultant in Public Health,Capital Expenditure,Other Capital Expenditure,TACT,15/05/2018," 9,196.91 ",
Health & Well-being,Culture & Recreation,Supplies & Services,Artistes Fees,BIRMINGHAM STAGE COMPANY (LONDON) LTD,04/05/2018," 7,924.34 ",
